,commodity,num of obs
2223,Nuclear – Main activity – Electricity plants,398
289,Blast Furnace Gas - Own use by coke ovens,397
416,Charcoal - Exports,396
1499,Natural gas liquids - Production,395
1037,Heat - Energy industries own use,391
1024,Heat - Consumption by machinery,391
357,Brown coal - consumption by households,389
984,Hard coal - transformation in CHP plants - main activity producers,388
90,Aviation gasoline - Stock changes,388
1013,Geothermal – Main activity,387
952,"Hard coal - consumption by paper, pulp and print",386
1177,Lignite - Production,385
8,Additives and Oxygenates - Transformation in oil refineries,384
939,Hard coal - consumption by commerce and public services,384
1236,Liquified Petroleum Gas (LPG) - Consumption by non-ferrous metals,384
7,Additives and Oxygenates - Transformation,384
363,Brown coal - Consumption by non-metallic minerals industry,384
1649,Other bituminous coal - transformation in main activity producer CHP plants,381
339,Brown coal briquettes - Total energy supply,381
773,Fuelwood - Consumption not elsewhere specified (industry),380
858,Gas Oil/ Diesel Oil - Own use by oil refineries,380
777,Fuelwood - Exports,379
1710,Other kerosene - Transfers and recycled products,379
1612,"Other bituminous coal - consumption by paper, pulp and print",378
148,Biodiesel - Total energy supply,377
998,From combustible fuels – Autoproducer – Heat plants,373
2194,Electricity - Own use by coke ovens,373
401,Brown coal - Transformation in main activity electricity plants,373
1135,Kerosene-type Jet Fuel - Transfers and recycled products,372
1154,Lignite - Consumption by other,372
331,Brown Coal Briquettes - Final energy consumption,371
330,Brown coal briquettes - final consumption,371
251,"Black Liquor - Consumption by other manuf., const. and non-fuel ind.",370
250,"Black Liquor - Consumption by manufacturing, construction and non-fuel mining industry",370
258,Black Liquor - Production,370
959,"Hard coal - consumption in agriculture, forestry and fishing",370
256,Black Liquor - Final energy consumption,370
255,Black Liquor - Final consumption,370
259,Black Liquor - Total energy supply,370
1028,Heat - Consumption by non-metallic minerals,370
138,Biodiesel - Final consumption,369
139,Biodiesel - Final energy consumption,369
1636,Other bituminous coal - production,369
129,Biodiesel - Consumption by road,368
132,Biodiesel - Consumption in transport,368
1842,Vegetal waste - Consumption by other,367
2095,Refinery Gas - Transformation in CHP plants - autoproducers,366
983,Hard coal - transformation in CHP plants - autoproducers,365
1241,Liquified Petroleum Gas (LPG) - Consumption by transport equipment,365
871,Gas Oil/ Diesel Oil - Transformation in electricity plants - autoproducers,364
752,Fuel oil - Transformation in heat plants - main activity producers,364
1619,Other bituminous coal - consumption in commerce and public services,362
961,Hard coal - consumption not elsewhere specified (industry),361
2080,Refinery gas - Final consumption,360
791,Fuelwood - Transformation in charcoal plants,360
1169,Lignite - Imports,359
193,Biogases - Transformation in electricity plants - autoproducers,359
146,Biodiesel - Production,357
1792,Other oil products n.e.c. - Own use by oil refineries,357
2059,Feedstocks - Receipts from other sources,349
1285,"Motor Gasoline - Consumption by manufacturing, construction and non-fuel mining industry",348
316,Brown coal briquettes - consumption by Other,347
494,Coke Oven Gas - Transformation in CHP plants - autoproducers,347
713,Fuel oil - Consumption by transport equipment ,345
1291,"Motor Gasoline - Consumption by other manuf., const. and non-fuel min. ind.",345
1872,Paraffin waxes - Exports,344
1218,Liquefied petroleum gas (LPG) - Own use by oil refineries,344
1881,Paraffin waxes - Stock changes,343
1034,Heat - Consumption by wood and wood products,343
1,Additives and Oxygenates - Imports,342
757,Fuelwood - Consumption by food and tobacco ,342
1507,Natural gas liquids - Transformation in oil refineries,341
1272,Lubricants - Transfers and recycled products,341
1641,Other bituminous coal - transformation in autoproducer CHP plants,341
1608,Other bituminous coal - consumption by non-ferrous metals industry,340
1837,Vegetal waste - Consumption by households,339
946,Hard coal - consumption by non-ferrous metals industry,337
1153,Lignite - Consumption by non-metallic minerals industry,336
1395,Naphtha - Transformation,335
943,Hard coal - consumption by machinery industry,334
700,Fuel oil - Consumption by households,331
1394,Naphtha - Transfers and recycled products,331
295,Blast Furnace Gas - Transformation in CHP plants - autoproducers,331
1620,Other bituminous coal - consumption not elsewhere specified (industry),330
1147,Lignite - Consumption by households,330
61,Anthracite - Total energy supply,329
1076,Industrial Waste - Consumption by non-metallic minerals ,328
748,Fuel oil - Transformation in electricity plants - autoproducers,328
954,Hard coal - consumption by textile and leather industry,326
599,Direct use of geothermal heat - Consumption by commerce and public services,326
2227,Solar – Main activity,326
868,Gas Oil/ Diesel Oil - Transformation in CHP plants - main activity producers,325
1420,Natural Gas (including LNG) - consumption by pipeline transport,325
618,Direct use of solar thermal heat - Consumption by commerce and public services,323
309,Brown coal briquettes - consumption by households,320
658,"Electricity - net installed capacity of electric power plants, self-producer solar",319
849,Gas Oil/ Diesel Oil - Non-energy uses,317
962,Hard coal - energy industries own use,316
1033,Heat - Consumption by transport equipment,316
